study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S147,39552568,10.1002/mrm.30365,2025,Romer-EPTI: Rotating-view motion-robust super-resolution EPTI for SNR-efficient distortion-free in-vivo mesoscale diffusion MRI and microstructure imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"berlein E, et al. Pushing the limits of in vivo diffusion MRI for the human connectome project. Neuroimage. 2013;80:220-233. 14. McNab JA, Edlow BL, Witzel",human connectome,Expert reader consensus,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S148,39159019,10.1109/tmi.2024.3446450,2025,SISMIK for Brain MRI: Deep-Learning-Based Motion Estimation and Model-Based Motion Correction in k-Space,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Stated ground truth (unspecified),both stated,multi-centre,"ity metric system for struc- tural brain magnetic resonance images in multi-center neuroimaging study”. In: BMC medical imaging 18 (2018), pp. 1–19. [36",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S149,40173320,10.1002/mrm.30489,2025,Short-term gradient imperfections in high-resolution EPI lead to Fuzzy Ripple artifacts,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,canning protocols and sequence parameters are available here: https://github.com/layerfMRI/Sequence _Github/. Table 1 summarizes the key protocol parameters of the exper,yes,"-watching paradigm, utilizing the same 15-min movie clips from the 7T HCP study (MOVIE1). 3.2 Large FOV data to compare Fuzzy Ripples with edge",HCP,Conventional/standard-of-care acquisition,not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S150,,10.1109/icip55913.2025.11084355,2025,Sparsity-Driven Parallel Imaging Consistency for Improved Self-Supervised MRI Reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,able and artifact-free reconstructions. The results obtained from the fastMRI knee and brain datasets show that the proposed training strategy effe,fastMRI,Fully sampled acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S151,39250435,10.1002/mrm.30255,2025,Spherical echo-planar time-resolved imaging (sEPTI) for rapid 3D quantitative T 2 * and susceptibility imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,abstract + MeSH only,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S152,39366765,10.3174/ajnr.a8526,2025,Super-Resolution in Clinically Available Spinal Cord MRIs Enables Automated Atrophy Analysis,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,he “degrade” fea- ture of the “radifox-utils” Python package (https://github.com/jh- mipc/radifox-utils) to apply a learned slice profile to the HR patche,not stated,,,Stated ground truth (unspecified),not stated,multi-centre,"4;23:307–15 CrossRef Medline 18. Liu Y, Lukas C, Steenwijk MD, et al. Multicenter validation of mean upper cervical cord area measurements from head 3D",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S153,39607873,10.1002/mrm.30384,2025,"Time-efficient, high-resolution 3T whole-brain relaxometry using Cartesian 3D MR Spin TomogrAphy in Time-Domain (MR-STAT) with cerebrospinal fluid suppression",Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,abstract + MeSH only,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S154,39824686,10.1016/j.zemedi.2024.12.001,2025,Ultra-high-resolution brain MRI at 0.55T: bSTAR and its application to magnetization transfer ratio imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,nt The code used to extract the data is distributed by the authors as open-source. The patient data can be made available on request due to privacy/eth,not stated,,,Expert reader consensus,not stated,multi-centre,"aal-Behloul F, Hofman PA, van Osch MJ, et al. Sources of variation in multi-centre brain MTR histogram studies: body-coil transmission eliminates inter-",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S155,39938896,10.2463/mrms.mp.2024-0098,2025,Using Deep Learning to Simultaneously Reduce Noise and Motion Artifacts in Brain MR Imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Stated ground truth (unspecified),prospective,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S156,39567364,10.1002/mrm.30380,2025,Variable-flip-angle 3D spiral-in-out turbo spin-echo imaging using concomitant gradient compensation and echo reordering at 0.55 T,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Fully sampled acquisition,both stated,not stated,"mensional (2D) imaging, with the primary benefit being the ability to retrospectively reformat the corresponding data sets to yield high-quality images",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S157,41376618,10.1002/hbm.70429,2025,White Matter Bundle Reconstruction From Single-Shell Diffusion Magnetic Resonance Imaging: Test-Retest Reliability and Predictive Capability Across Orientation Distribution Function Reconstruction Methods,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"046908. Vallat, R. 2018. “Pingouin: Statistics in Python.” Journal of Open Source Software 3, no. 31: 1026. https://​doi.​org/​10.​21105/​joss.​01026​",yes,"n shells as is common in large-­scale neuroimaging datasets like the Human Connectome Project (Van Essen et al. 2013), UK Biobank (Bycroft et al. 2018),",HCP;Human Connectome;UK Biobank,Stated ground truth (unspecified),not stated,multi-centre,"ed using data from a single site and scanner; when pooling data from multiple sites or over a longer time in which the in- stitution's scanner, acquisiti",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S158,,10.1038/s44172-025-00580-6,2026,Accelerating CEST MRI through complementary undersampling and multi-offset transformer reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Fully sampled acquisition,both stated,not stated,"undersampling below the Nyquist rate introduces imaging artifacts, a retrospective reconstruction method is required to recover missing information. Co",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S159,41873533,10.1002/mrm.70358,2026,Advancing Quantitative Susceptibility Mapping With 2.5D Diffusion Models for Rapid Intracranial Hemorrhage Quantification,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"ing follows a three-stage process. First, 20 COSMOS subjects from two publicly available datasets [38, 63], with an isotropic image resolution of 1 mm, were used t",,Conventional/standard-of-care acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S160,41204061,10.1002/mrm.70132,2026,An Exploration of Motion-Sampling Interactions in 3D MRI for Neuroimaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,(red “X”) for the volunteer to follow (software available on https://gitlab.com/neuromr_karolinska/ mocovisualisation). By changing the target position on the mon- itor,not stated,,,Fully sampled acquisition,both stated,not stated,"-Relaxometry With MPn- RAGE: Test-Retest Reliability With and Without Retrospective Motion Correction,” NeuroImage 242 (2021): 118447, https://doi.org/1",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
