file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
2005 - Geometric distortion correction of high-resolution 3 T diffusion tensor brain images. - PMID 16187289.md,16187289,10.1002/mrm.20651,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Geometric distortion correction of high-resolution 3 T diffusion tensor brain images.
2005 - Ghost artifact removal using a parallel imaging approach. - PMID 16155885.md,16155885,10.1002/mrm.20640,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Ghost artifact removal using a parallel imaging approach.
2005 - Graph embedding to improve supervised classification and novel class detection application to prostate cancer. - PMID 16685911.md,16685911,10.1007/11566465_90,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Graph embedding to improve supervised classification and novel class detection: application to prost
2005 - Graphical-Model-based Morphometric Analysis. - PMID 16229411.md,16229411,10.1109/tmi.2005.854305,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Graphical-Model-based Morphometric Analysis.
2005 - HVS-based medical image compression. - PMID 15950111.md,15950111,10.1016/j.ejrad.2004.09.007,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",HVS-based medical image compression.
2005 - Half-time image reconstruction in thermoacoustic tomography. - PMID 15707246.md,15707246,10.1109/tmi.2004.839682,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Half-time image reconstruction in thermoacoustic tomography.
2005 - Harmonic decomposition in PDE-based denoising technique for magnetic resonance electrical impedance tomography. - PMID 16285395.md,16285395,10.1109/tbme.2005.856258,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Harmonic decomposition in PDE-based denoising technique for magnetic resonance electrical impedance 
2005 - Head and neck malignancy is PET CT more accurate than PET or CT alone - PMID 15858097.md,15858097,10.1148/radiol.2352040134,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Head and neck malignancy: is PET/CT more accurate than PET or CT alone?
2005 - Head-to-head comparison of three-dimensional navigator-gated magnetic resonance imaging and 16-slice computed tomography - PMID 15992641.md,15992641,10.1016/j.jacc.2005.03.057,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Head-to-head comparison of three-dimensional navigator-gated magnetic resonance imaging and 16-slice
2005 - Heterogeneity of cerebral blood flow in dementia. - PMID 15750828.md,15750828,10.1007/s00259-005-1778-z,flagged,0.85,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,Heterogeneity of cerebral blood flow in dementia. No abstract available from PubMed.
2005 - High resolution MR perfusion imaging of the kidneys at 3 Tesla without administration of contrast media. - PMID 16333784.md,16333784,10.1055/s-2005-858761,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",High resolution MR perfusion imaging of the kidneys at 3 Tesla without administration of contrast me
2005 - High-resolution DTI with 2D interleaved multislice reduced FOV single-shot diffusion-weighted EPI (2D ss-rFOV-DWEPI). - PMID 16254946.md,16254946,10.1002/mrm.20711,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",High-resolution DTI with 2D interleaved multislice reduced FOV single-shot diffusion-weighted EPI (2
2005 - High-resolution MR imaging appearance of colonic tissue in rabbits using an endoluminal coil. - PMID 16320089.md,16320089,10.1007/s10334-005-0008-9,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",High-resolution MR imaging appearance of colonic tissue in rabbits using an endoluminal coil.
2005 - High-resolution T1-weighted MR-lymphography of inguinal lymph nodes after interstitial application of Gadomer-17 in anim - PMID 15973599.md,15973599,10.1055/s-2005-858239,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",[High-resolution T1-weighted MR-lymphography of inguinal lymph nodes after interstitial application 
2005 - High-resolution black-blood MRI of the carotid vessel wall using phased-array coils at 1.5 and 3 Tesla. - PMID 16321740.md,16321740,10.1016/j.acra.2005.08.009,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",High-resolution black-blood MRI of the carotid vessel wall using phased-array coils at 1.5 and 3 Tes
2005 - High-resolution steady-state free precession coronary magnetic resonance angiography within a breath-hold parallel imagi - PMID 16187274.md,16187274,10.1002/mrm.20664,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",High-resolution steady-state free precession coronary magnetic resonance angiography within a breath
